date,Research,gasage_yr_bp,co2_ppmv,sig_mean_co2_ppmv
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",88.16551931,287.1745622,0.633936134
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",91.15595858,286.6330756,0.410730917
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",93.37967227,283.1621007,1.1615857
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",95.28161882,285.5655772,0.633930031
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",96.29172496,288.0544375,2.2146076
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",98.89435269,285.4658309,0.633929654
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",99.173,288.7903954,0.412785873
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",99.7376184,284.001634,1.161587421
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",102.6782,286.8392375,0.635058731
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",104.0951094,283.6198857,1.342061519
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",105.3453461,283.182872,1.161585743
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",105.53889,283.5311237,1.161586456
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",106.7067871,281.5814826,1.161582475
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",109.1718428,283.6545457,0.633922827
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",113.2998,284.151984,0.941799089
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",116.8228,283.8203923,0.941796034
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",117.1262238,285.0861667,0.950443702
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",123.0777,285.9089399,0.635045912
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",125.255,281.3603653,0.941773478
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",136.3403,284.4312876,0.941801666
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",150.6636,282.7995519,0.788398537
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",153.5285,280.4044367,1.72266188
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",154.0565,282.3047107,0.634996638
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",155.9035,281.617118,0.941775823
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",169.7001,273.073717,0.412458894
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",170.5109,280.2362982,0.634968641
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",176.5445,277.8559525,0.941741685
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",186.3032,276.396102,0.941728558
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",187.1218,277.1556866,0.634927323
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",197.8706,278.0020011,0.634938629
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",198.0684,276.4573287,0.941729107
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",200.8801,277.6000739,0.634933256
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",208.7428,276.809,0.941732264
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",216.128,278.3109425,0.941745791
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",226.9926,277.0133098,0.9417341
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",227.1356,278.2701102,1.267086427
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",255.9336,277.3580509,0.634930024
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",260.2586,276.3246168,0.941727917
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",268.1057,276.6596678,0.634920713
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",300.9031,278.0152295,0.634938806
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",310.1855,276.6872123,0.94173117
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",321.4007,273.7807623,0.412473216
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",340.5392,271.1090305,0.412419288
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",346.5814,275.0665778,0.634899562
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",359.0094,279.3568611,0.95086906
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",361.8233,281.1089282,0.941771184
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",376.9871,282.5698275,0.635000242
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",390.1371,281.8290415,0.941777761
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",400.3525,283.5296826,1.267122056
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",420.3243,283.9478904,0.635019025
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",448.4714,283.1247804,0.635007795
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",480.6032,280.3125047,1.267100183
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",500.8362,282.2265804,0.950894954
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",521.1956,279.7256959,0.412595084
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",539.1394,279.6965499,0.941758334
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",559.6679,280.9115788,0.63497776
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",601.1501,278.3621212,0.412566904
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",619.88,284.0676433,0.635020662
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",642.5528,281.578409,0.94177547
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",671.8032,278.4312489,0.412568329
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",690.4929,282.1992861,0.941781148
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",698.7306,282.4131105,0.634998111
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",739.045,283.6882892,0.941794818
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",750.1886,284.5400442,0.635027125
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",784.0184,283.9659747,1.411605522
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",803.7131,284.5105844,1.267128774
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",834.3911,282.8416314,0.941787037
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",850.5902,283.0944583,0.635007382
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",879.7973,282.844416,0.941787062
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",900.82294,280.9667443,0.634978505
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",909.92083,280.9161702,0.941769427
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",930.72784,280.0645297,0.634966326
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",932.42209,279.7987034,1.342037193
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",967.34583,278.7402402,1.411573695
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",992.34736,277.4071684,0.412547249
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1035.87184,280.1055259,2.213895625
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1074.5898,279.4204406,1.411577804
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1127.67222,278.6230032,1.411572988
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1156.89504,279.7246992,2.213894154
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1187.70454,279.2937108,2.213892491
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1219.5665,279.9902637,0.412600568
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1248.75007,277.0989409,0.412540919
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1280.82364,278.454968,0.412568818
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1313.00077,279.5880502,0.412592233
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1335.47544,277.8697161,0.412556761
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1367.59231,276.1960375,0.412522417
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1392.53167,278.4608976,3.845059023
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1398.37838,276.5590465,0.412529848
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1432.04389,276.7895191,0.941732089
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1461.86806,277.1056915,0.412541057
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1513.06166,279.9999147,0.412600768
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1543.63545,279.1252091,0.412582657
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1565.77312,277.2469179,0.412543957
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1592.66644,277.7953778,0.412555231
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1632.45421,281.6921389,0.412635963
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1654.39543,280.9089599,0.412619649
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1675.55608,280.2444922,2.563635366
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1683.90469,278.3143999,0.61645381
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1709.3986,280.2490872,0.616480593
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1775.46638,277.5558921,0.412550305
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1796.46924,278.0719954,0.412560925
1.8-2 kyr BP:,"Law Dome (MacFarling Meure et al., 2006)",1814,278.1,1
1.8-2 kyr BP:,"Law Dome (MacFarling Meure et al., 2006)",1846,277.5,1
1.8-2 kyr BP:,"Law Dome (MacFarling Meure et al., 2006)",1894,277.4,1
